Model: Qwen/Qwen2.5-7B-Instruct
Dimension: loyalty
Timestamp: 2025-01-19

Moral Neurons:

Immoral Neurons:

Neuron Consistency:

Layer Importance:
(27, 0.14609238505363464)
(26, 0.08527964353561401)
(25, 0.0685497298836708)
(24, 0.05849549174308777)
(23, 0.05247589945793152)
(22, 0.05057372897863388)
(21, 0.04282304272055626)
(20, 0.034939974546432495)
(19, 0.028673117980360985)
(18, 0.023942796513438225)
(9, 0.023192988708615303)
(8, 0.021915579214692116)
(10, 0.02074100263416767)
(17, 0.020670874044299126)
(7, 0.020360218361020088)
(14, 0.019806180149316788)
(13, 0.019764119759202003)
(11, 0.01967836357653141)
(12, 0.01947246678173542)
(15, 0.019111840054392815)
(16, 0.01888931356370449)
(6, 0.016030004248023033)
(3, 0.012908260338008404)
(4, 0.00904790498316288)
(5, 0.007245031651109457)
(0, 0.0057527730241417885)
(2, 0.004270062781870365)
(1, 0.00267990306019783)

Key Trigger Points:
(1, 0.05163135379552841)
(10, 0.047740817070007324)
(2, 0.04674844071269035)
(9, 0.04522453993558884)
(11, 0.044940605759620667)
